Sheet Name: Sheet1

--- Content ---
['N', 'القسم', 'name_ar', 'name_en', 'النكهه', 'اسم النكهه بالانجليزي', 'description_ar', 'description_en', 'quantity_ar', 'quantity_en', 'النوع', 'offer_price', 'base_price', 'عروض', 'السعر', 'category_id', 'subcategory_id', 'للينك الصور ']
[13, 'الماركت', 'عصير بيتى ', 'Beyti Juice', 'كوكتيل ', 'COCKTAIL', 'عصير بيتى  كوكتيل  1لتر', 'Beyti Juice COCKTAIL 1liter', '1لتر', '1liter', 'معلبات', 33.5, 34, 33.5, 34, 77, 79, 'Betty Cocktail Juice 1 Liter.jpg']
[14, 'الماركت', 'عصير بيتى ', 'Beyti Juice', 'تفاح ', 'APPLE', 'عصير بيتى  تفاح  1لتر', 'Beyti Juice APPLE 1liter', '1لتر', '1liter', 'معلبات', 33.5, 34, 33.5, 34, 77, 79, 'Homemade Apple Juice 1 Liter.jpg']
[15, 'الماركت', 'عصير بيتى ', 'Beyti Juice', 'جوافه ', 'GUAVA', 'عصير بيتى  جوافه  1لتر', 'Beyti Juice GUAVA 1liter', '1لتر', '1liter', 'معلبات', 33.5, 34, 33.5, 34, 77, 79, 'Homemade Guava Juice 1 Liter']
[16, 'الماركت', 'عصير بيتى ', 'Beyti Juice', 'برتقال  ', 'ORANGE', 'عصير بيتى  برتقال   1لتر', 'Beyti Juice ORANGE 1liter', '1لتر', '1liter', 'معلبات', 33.5, 34, 33.5, 34, 77, 79, 'Homemade Orange Juice 1 Liter.avif']
[37, 'الماركت', 'نسله مياه ', 'NESTLE', 'مياه', 'Water', 'نسله مياه  مياه 1.5لتر', 'NESTLE Water 1.5liter', '1.5لتر', '1.5liter', 'ازازه', 9, 10, 9, 10, 77, 91, 'Nestle Water 1.5 Liters.jpg']
[38, 'الماركت', 'نسله مياه ', 'NESTLE', 'مياه', 'Water', 'نسله مياه  مياه 600.مل', 'NESTLE Water 600.ml', '600.مل', '600.ml', 'ازازه', 5.25, 6, 5.25, 6, 77, 91, 'Nestle Water 600ml.jpg']
[70, 'الماركت', ' جهينه عصير ', 'JUHAYNA', 'مانجو ', 'MANGO', ' جهينه عصير  مانجو  1لتر', 'JUHAYNA MANGO 1liter', '1لتر', '1liter', 'معلبات', 37.5, 61, 37.5, 61, 77, 79, 'Juhayna Classic Mango Juice - 1 Liter.jpg']
[94, 'الماركت', 'مكرونة حوا ', 'HAWAA PASTA', 'هلالية ', 'ELBOW', 'مكرونة حوا  هلالية  400 جم', 'HAWAA PASTA ELBOW 400 gram', '400 جم', '400 gram', 'اكياس', 15, 17, 15, 17, 85, 90, "Eve's Crescent Pasta 400g.png"]
[95, 'الماركت', 'مكرونة حوا ', 'HAWAA PASTA', 'مرمرية ', 'SMALL RINGS', 'مكرونة حوا  مرمرية  400 جم', 'HAWAA PASTA SMALL RINGS 400 gram', '400 جم', '400 gram', 'اكياس', 15, 17, 15, 17, 85, 90, "Eve's Marmalade Pasta 400g.jpg"]
[96, 'الماركت', 'مكرونة حوا ', 'HAWAA PASTA', 'شعرية ', 'VERMICELLI', 'مكرونة حوا  شعرية  400 جم ', 'HAWAA PASTA VERMICELLI 400 gram ', '400 جم ', '400 gram ', 'اكياس', 15, 17, 15, 17, 85, 90, "Eve's Vermicelli Pasta 400g.jpg"]
[97, 'الماركت', 'مكرونة حوا ', 'HAWAA PASTA', 'لسان عصفور  ', 'RISONI', 'مكرونة حوا  لسان عصفور   400 جم', 'HAWAA PASTA RISONI 400 gram', '400 جم', '400 gram', 'اكياس', 15, 17, 15, 17, 85, 90, "Eve's Orzo Pasta 400g.jpg"]
[98, 'الماركت', 'مكرونة حوا ', 'HAWAA PASTA', 'فرن ', 'PENNE', 'مكرونة حوا  فرن  400 جم', 'HAWAA PASTA PENNE 400 gram', '400 جم', '400 gram', 'اكياس', 15, 17, 15, 17, 85, 90, "Eve's Pasta Oven 400g.jpg"]
